"group","compound","cas","spec.pt"
"Alcohol","Ethanol","64-17-5",36.81
"Ester","Propyl acetate","109-60-4",8.305
"Ester","Ethyl lactate","97-64-3",8.297
"Acid","Acetic acid","64-19-7",7.643
"Ester","Methyl acetate","79-20-9",7.564
"Ester","Propyl lactate","616-09-1",5.411
"Alcohol","1-Propanol","71-23-8",5.165
"Ester","Ethyl acetate","141-78-6",3.08
"Alcohol","Methanol","67-56-1",2.61
"Aldehyde","Hexanal","66-25-1",2.57
"Aldehyde","Valeraldehyde","110-62-3",1.804
"Aldehyde","3-Methylbutanal","590-86-3",1.67
"Alcohol","2-Propanol","67-63-0",1.511
"Aldehyde","Acetaldehyde","75-07-0",1.408
"Acid","Propionic acid","79-09-4",1.037
"Alcohol","2-Butanol","78-92-2",0.8752
"Acid","Isobutyric acid","79-31-2",0.7509
"Aldehyde","Butyraldehyde","123-72-8",0.6534
"Acid","Butyric acid","107-92-6",0.6466
"Ester","Ethyl butyrate","105-54-4",0.4827
"Aldehyde","2-Methylpropanal","78-84-2",0.4439
"Aldehyde","Heptanal","111-71-7",0.4018
"Aldehyde","Propionaldehyde","123-38-6",0.3337
"Alcohol","3-Methyl-1-butanol","123-51-3",0.1587
"Alcohol","2-Methyl-1-propanol","78-83-1",0.07427
"Alcohol","1-Butanol","71-36-3",0.07427
"Alcohol","2-Phenylethanol","60-12-8",0.06214
"Alcohol","1-Hexanol","111-27-3",0.05726
"Alcohol","2-Propenol","107-18-6",0.05099
"Acid","Isovaleric acid","503-74-2",0.04518
